group,team,points
A,Qatar,1439.89
A,Ecuador,1464.39
A,Senegal,1584.38
A,Netherlands,1694.51
B,England,1728.47
B,IR Iran,1564.61
B,USA,1627.48
B,Wales,1569.82
C,Argentina,1773.88
C,Saudi Arabia,1437.78
C,Mexico,1644.89
C,Poland,1548.59
D,France,1759.78
D,Australia,1488.72
D,Denmark,1666.57
D,Tunisia,1507.54
E,Spain,1715.2
E,Costa Rica,1503.59
E,Germany,1650.21
E,Japan,1559.54
F,Belgium,1816.71
F,Canada,1475
F,Morocco,1563.5
F,Croatia,1645.64
G,Brazil,1841.3
G,Serbia,1563.62
G,Switzerland,1635.92
G,Cameroon,1471.44
H,Portugal,1676.56
H,Ghana,1393
H,Uruguay,1638.71
H,Korea Republic,1530.3
